id,raw_text,normalized_text,label,split
337,"Tạo nhắc ngủ sớm lúc 11h.","tạo nhắc ngủ sớm lúc 11h",calendar,validation
338,"Cách tính tiền nước hàng tháng?","cách tính tiền nước hàng tháng",qa,validation
339,"Tắt wifi!","tắt wifi",control_device,validation
340,"Chuyển bài tiếp theo!","chuyển bài tiếp theo",control_device,validation
341,"Nhắc tôi đi mua sắm vào chiều nay.","nhắc tôi đi mua sắm vào chiều nay",calendar,validation
342,"Khởi động Jupyter Notebook!","khởi động jupyter notebook",control_device,validation
343,"Kỹ năng giao tiếp quan trọng ra sao?","kỹ năng giao tiếp quan trọng ra sao",qa,validation
344,"Tối nay có lịch học tiếng Anh không?","tối nay có lịch học tiếng anh không",calendar,validation
345,"Tại sao cần tập thể dục?","tại sao cần tập thể dục",qa,validation
346,"Mở file explorer!","mở file explorer",control_device,validation
347,"Nấu mì gói cần bao nhiêu nước?","nấu mì gói cần bao nhiêu nước",qa,validation
348,"Trong ngày hôm nay tôi rảnh lúc nào?","trong ngày hôm nay tôi rảnh lúc nào",calendar,validation
349,"Chấm writing IELTS dựa trên gì?","chấm writing ielts dựa trên gì",qa,validation
350,"Tôi hay xem phim ban đêm.","tôi hay xem phim ban đêm",personalize,validation
351,"Ngày kia có bận không?","ngày kia có bận không",calendar,validation
352,"Tạo lịch gọi điện vào ngày mai.","tạo lịch gọi điện vào ngày mai",calendar,validation
353,"Lên lịch kiểm tra hệ thống.","lên lịch kiểm tra hệ thống",calendar,validation
354,"Sự khác nhau giữa frontend và backend?","sự khác nhau giữa frontend và backend",qa,validation
355,"Nhớ là tôi dị ứng đậu phộng nhé.","nhớ là tôi dị ứng đậu phộng nhé",personalize,validation
356,"Thêm lịch học toán lúc 7 giờ tối.","thêm lịch học toán lúc 7 giờ tối",calendar,validation
357,"Mùa hè ngày dài hơn đêm vì sao?","mùa hè ngày dài hơn đêm vì sao",qa,validation
358,"Thêm lịch check mail buổi sáng.","thêm lịch check mail buổi sáng",calendar,validation
359,"Nhắc tôi đi ngủ lúc 11 giờ đêm.","nhắc tôi đi ngủ lúc 11 giờ đêm",calendar,validation
360,"Tại sao nên duy trì thói quen đọc sách?","tại sao nên duy trì thói quen đọc sách",qa,validation
361,"Cách luyện nghe tiếng Anh hiệu quả?","cách luyện nghe tiếng Anh hiệu quả",qa,test
362,"Tăng âm lượng lên mức cao!","tăng âm lượng lên mức cao",control_device,test
363,"Khởi động lại điện thoại!","khởi động lại điện thoại",control_device,test
364,"Kiểm tra trạng thái hệ thống!","kiểm tra trạng thái hệ thống",control_device,test
365,"Ăn táo có tốt không?","ăn táo có tốt không",qa,test
366,"Tôi không uống cà phê buổi tối.","tôi không uống cà phê buổi tối",personalize,test
367,"Làm sao để tiết kiệm điện trong nhà?","làm sao để tiết kiệm điện trong nhà",qa,test
368,"API dùng để làm gì trong lập trình?","api dùng để làm gì trong lập trình",qa,test
369,"Truy cập thư mục Download!","truy cập thư mục download",control_device,test
370,"Đặt lịch bảo trì xe điện.","đặt lịch bảo trì xe điện",calendar,test
371,"Nhắc tôi sinh nhật mẹ.","nhắc tôi sinh nhật mẹ",calendar,test
372,"Tôi không hay dùng bluetooth.","tôi không hay dùng bluetooth",personalize,test
373,"Vì sao cần đa dạng hóa tài chính?","vì sao cần đa dạng hóa tài chính",qa,test
374,"Python dùng để làm gì?","python dùng để làm gì",qa,test
375,"Nhớ là tôi hay dậy sớm.","nhớ là tôi hay dậy sớm",personalize,test
376,"Những sự kiện sắp tới là gì?","những sự kiện sắp tới là gì",calendar,test
377,"Lên lịch kiểm tra công việc mỗi ngày.","lên lịch kiểm tra công việc mỗi ngày",calendar,test
378,"Làm sao để giảm stress?","làm sao để giảm stress",qa,test
379,"Xem lịch tuần sau.","xem lịch tuần sau",calendar,test
380,"Chuyển bài tiếp theo!","chuyển bài tiếp theo",control_device,test
381,"Ngày hôm nay có việc gì cần làm?","ngày hôm nay có việc gì cần làm",calendar,test
382,"Khoảng cách Hà Nội Bắc Ninh là bao xa?","khoảng cách hà nội bắc ninh là bao xa",qa,test
383,"Có việc gì sắp đến không?","có việc gì sắp đến không",calendar,test
384,"Ngày mai tôi có kế hoạch gì?","ngày mai tôi có kế hoạch gì",calendar,test
385,"Ngày kia có cuộc họp không?","ngày kia có cuộc họp không",calendar,test
386,"Tôi thường đi làm bằng xe máy điện.","tôi thường đi làm bằng xe máy điện",personalize,test
387,"Tại sao cần kiểm tra xe trước khi đi xa?","tại sao cần kiểm tra xe trước khi đi xa",qa,test
388,"Làm sao để không bị trì hoãn?","làm sao để không bị trì hoãn",qa,test
389,"Tuần sau có kế hoạch gì?","tuần sau có kế hoạch gì",calendar,test
390,"Liệt kê lịch hôm nay.","liệt kê lịch hôm nay",calendar,test
391,"Hôm nay tôi bận không?","hôm nay tôi bận không",calendar,test
392,"Hãy ghi nhớ thói quen này.","hãy ghi nhớ thói quen này",personalize,test
393,"Kỹ năng mềm là gì?","kỹ năng mềm là gì",qa,test
394,"Tôi thích đọc tin công nghệ vào buổi sáng.","tôi thích đọc tin công nghệ vào buổi sáng",personalize,test
395,"Mở Messenger!","mở messenger",control_device,test
396,"Tôi thích nghe nhạc khi học.","tôi thích nghe nhạc khi học",personalize,test
397,"Cuối tuần này có đi đâu không?","cuối tuần này có đi đâu không",calendar,test
398,"Xem lịch tuần này.","xem lịch tuần này",calendar,test
399,"Xem ca làm việc chiều nay.","xem ca làm việc chiều nay",calendar,test
400,"Mở trình duyệt web!","mở trình duyệt web",control_device,test
401,"Nhắc tôi gọi về nhà vào chủ nhật.","nhắc tôi gọi về nhà vào chủ nhật",calendar,train
402,"Bật trình duyệt Chrome!","bật trình duyệt chrome",control_device,train
403,"Nhắc tôi đi làm ca tối thứ sáu.","nhắc tôi đi làm ca tối thứ sáu",calendar,train
404,"Mở Excel lên!","mở excel lên",control_device,train
405,"Tuần này có deadline nào không?","tuần này có deadline nào không",calendar,train
406,"Mở nhạc ballad trên YouTube!","mở nhạc balad trên youtube",control_device,train
407,"Cách giải ax^2 + bx + c = 0?","cách giải ax^2 + bx + c = 0",qa,train
408,"100 đô bằng bao nhiêu tiền Việt?","100 đô bằng bao nhiêu tiền việt",qa,train
409,"Từ Hà Nội đến Bắc Ninh bao nhiêu km?","từ hà nội đến bắc ninh bao nhiêu km",qa,train
410,"Tôi hay chơi game chiến thuật.","tôi hay chơi game chiến thuật",personalize,train
411,"Ngày mai có bận không?","ngày mai có bận không",calendar,train
412,"Cuối tuần có kế hoạch gì?","cuối tuần có kế hoạch gì",calendar,train
413,"Tôi thường dùng laptop vào buổi tối.","tôi thường dùng laptop vào buổi tối",personalize,train
414,"Nhắc tôi đi ngủ lúc 11 giờ tối.","nhắc tôi đi ngủ lúc 11 giờ tối",calendar,train
415,"Vi điều khiển là gì vậy?","vi điều khiển là gì vậy",qa,train
416,"Vì sao có hiện tượng nhật thực?","vì sao có hiện tượng nhật thực",qa,train
417,"Thời gian nào hôm nay tôi trống?","thời gian nào hôm nay tôi trống",calendar,train
418,"Tôi thích video ngắn thôi.","tôi thích video ngắn thôi",personalize,train
419,"Đỉnh núi cao nhất Việt Nam tên gì?","đỉnh núi cao nhất việt nam tên gì",qa,train
420,"Chiều thứ sáu có lịch gì không?","chiều thứ sáu có lịch gì không",calendar,train
421,"Đi xe tiết kiệm xăng như thế nào?","đi xe tiết kiệm xăng như thế nào",qa,train
422,"Tắt ứng dụng Chrome!","tắt ứng dụng chrome",control_device,train
423,"Chiều nay tôi có lịch gì?","chiều nay tôi có lịch gì",calendar,train
424,"Thế nào là kỹ năng mềm?","thế nào là kỹ năng mềm",qa,train
425,"Bật ghi âm!","bật ghi âm",control_device,train
426,"Nước nào rộng nhất thế giới?","nước nào rộng nhất thế giới",qa,train
427,"Mở file Word gần nhất!","mở file word gần nhất",control_device,train
428,"Tôi học tốt hơn vào buổi tối.","tôi học tốt hơn vào buổi tối",personalize,train
429,"Sáng thứ hai tôi có họp không?","sáng thứ hai tôi có họp không",calendar,train
430,"Tôi thích làm việc một mình.","tôi thích làm việc một mình",personalize,train
431,"Tôi học IELTS hiện tại.","tôi học ielts hiện tại",personalize,train
432,"Xem lịch làm việc hôm nay.","xem lịch làm việc hôm nay",calendar,train
433,"Lưu lại địa điểm trường học.","lưu lại địa điểm trường học",personalize,train
434,"Bắc Ninh có món gì nổi tiếng?","bắc ninh có món gì nổi tiếng",qa,train
435,"Tôi thích theo dõi tin tức chứng khoán.","tôi thích theo dõi tin tức chứng khoán",personalize,train
436,"Mở ứng dụng học tập!","mở ứng dụng học tập",control_device,train
437,"Giúp tôi thêm lịch học lúc 7h tối.","giúp tôi thêm lịch học lúc 7h tối",calendar,train
438,"Vì sao xe tiêu hao nhiên liệu khác nhau?","vì sao xe tiêu hao nhiên liệu khác nhau",qa,train
439,"Tôi không ăn quá mặn.","tôi không ăn quá mặn",personalize,train
440,"Bỏ chế độ máy bay!","bỏ chế độ máy bay",control_device,train
441,"Bật wifi lên!","bật wifi lên",control_device,train
442,"Cuối tuần này có việc gì không?","cuối tuần này có việc gì không",calendar,train
443,"Mở file PDF!","mở file pdf",control_device,train
444,"Nhắc tôi đi ngủ sớm tối nay.","nhắc tôi đi ngủ sớm tối nay",calendar,train
445,"Tại sao điều hòa không mát?","tại sao điều hòa không mát",qa,train
446,"Tôi thích xem phim vào buổi tối.","tôi thích xem phim vào buổi tối",personalize,train
447,"Tôi thích không gian mát mẻ.","tôi thích không gian mát mẻ",personalize,train
448,"Thêm lịch học lúc 6 giờ sáng mai.","thêm lịch học lúc 6 giờ sáng mai",calendar,train
449,"Tôi thích làm việc theo deadline rõ ràng.","tôi thích làm việc theo deadline rõ ràng",personalize,train
450,"Tắt bluetooth!","tắt bluetooth",control_device,train
451,"Chạy PowerPoint!","chạy powerpoint",control_device,train
452,"Đặt lịch học ngày mai 6 giờ.","đặt lịch học ngày mai 6 giờ",calendar,train
453,"Hủy lịch mai.","hủy lịch mai",calendar,train
454,"Hủy lịch ngày mai.","hủy lịch ngày mai",calendar,train
455,"Thêm lịch mai dậy.","thêm lịch mai dậy",calendar,train
456,"Đặt lịch mai.","đặt lịch mai",calendar,train
457,"Thêm lịch ăn sáng lúc 7 giờ.","thêm lịch ăn sáng lúc 7 giờ",calendar,train
458,"Sáng nay có lịch học không?","sáng nay có lịch học không",calendar,train
459,"Thời tiết hôm nay thế nào?","thời tiết hôm nay thế nào",qa,train
460,"Tắt YouTube!","tắt youtube",control_device,train
461,"Cách sống tích cực hơn mỗi ngày?","cách sống tích cực hơn mỗi ngày",qa,train
462,"Tạm dừng nhạc lại!","tạm dừng nhạc lại",control_device,train
463,"Xem Recycle Bin!","xem recycle bin",control_device,train
464,"Dán file vào thư mục!","dán file vào thư mục",control_device,train
465,"Tính diện tích hình tròn như thế nào?","tính diện tích hình tròn như thế nào",qa,train
466,"Tôi không thích uống nước lạnh.","tôi không thích uống nước lạnh",personalize,train
467,"Kiểm tra cập nhật hệ thống đi!","kiểm tra cập nhật hệ thống đi",control_device,train
468,"Tuần sau có lịch học không?","tuần sau có lịch học không",calendar,train
469,"Lịch hôm nay của tôi ra sao?","lịch hôm nay của tôi ra sao",calendar,train
470,"Cách đặt mục tiêu cá nhân?","cách đặt mục tiêu cá nhân",qa,train
471,"Đọc tin nhắn gần đây!","đọc tin nhắn gần đây",control_device,train
472,"Vì sao luyện nghe quan trọng trong học tiếng Anh?","vì sao luyện nghe quan trọng trong học tiếng anh",qa,train
473,"Tại sao nên thiền?","tại sao nên thiền",qa,train
474,"Mặt trăng có ánh sáng không?","mặt trăng có ánh sáng không",qa,train
475,"Tôi hay đi bộ vào cuối tuần.","tôi hay đi bộ vào cuối tuần",personalize,train
476,"Tắt Word đi!","tắt word đi",control_device,train
477,"Tại sao có gió?","tại sao có gió",qa,train
478,"Bây giờ là mấy giờ?","bây giờ là mấy giờ",qa,train
479,"Nhắc tôi kiểm tra tài khoản.","nhắc tôi kiểm tra tài khoản",calendar,train
480,"Lên lịch rửa xe vào sáng mai.","lên lịch rửa xe vào sáng mai",calendar,train
481,"Mở ứng dụng ghi chú!","mở ứng dụng ghi chú",control_device,train
482,"Mở YouTube!","mở youtube",control_device,train
483,"Tôi thích nghe nhạc.","tôi thích nghe nhạc",personalize,train
484,"Khóa màn hình ngay!","khóa màn hình ngay",control_device,train
485,"Tôi rảnh lúc nào trong tháng này?","tôi rảnh lúc nào trong tháng này",calendar,train
486,"Nhắc tôi học bài vào 8 giờ tối nay.","nhắc tôi học bài vào 8 giờ tối nay",calendar,train
487,"Tháng này có kế hoạch gì?","tháng này có kế hoạch gì",calendar,train
488,"Tôi hay học vào ban đêm.","tôi hay học vào ban đêm",personalize,train
489,"Tôi ghét thời tiết nóng.","tôi ghét thời tiết nóng",personalize,train
490,"Mặt trời thường mọc hướng nào?","mặt trời thường mọc hướng nào",qa,train
491,"Thêm lịch ôn thi vào buổi tối.","thêm lịch ôn thi vào buổi tối",calendar,train
492,"Tạo lịch họp nhóm dự án lúc 10 giờ sáng mai.","tạo lịch họp nhóm dự án lúc 10 giờ sáng mai",calendar,train
493,"Cầu Vàng ở đâu?","cầu vàng ở đâu",qa,train
494,"Tại sao cần hiểu tài chính cá nhân?","tại sao cần hiểu tài chính cá nhân",qa,train
495,"Tại sao nên bảo dưỡng xe định kỳ?","tại sao nên bảo dưỡng xe định kỳ",qa,train
496,"Sáng nay tôi có lịch gì?","sáng nay tôi có lịch gì",calendar,train
497,"Sự kiện tiếp theo là gì?","sự kiện tiếp theo là gì",calendar,train
498,"Bật Microsoft Word!","bật microsoft word",control_device,train
499,"Tôi thích nhiệt độ phòng khoảng 25 độ.","tôi thích nhiệt độ phòng khoảng 25 độ",personalize,train
500,"Tôi thường nghe podcast trước khi ngủ.","tôi thường nghe podcast trước khi ngủ",personalize,train
501,"Làm sao để cân bằng công việc và cuộc sống?","làm sao để cân bằng công việc và cuộc sống",qa,train
502,"Tôi có kế hoạch gì sắp tới không?","tôi có kế hoạch gì sắp tới không",calendar,train
503,"Ngày kia có việc gì không?","ngày kia có việc gì không",calendar,train
504,"Giải phương trình bậc hai như thế nào?","giải phương trình bậc hai như thế nào",qa,train
505,"Tại sao cần luyện phát âm?","tại sao cần luyện phát âm",qa,train
506,"Tôi thường đọc sách trước khi ngủ.","tôi thường đọc sách trước khi ngủ",personalize,train
507,"Mở PyCharm!","mở pycharm",control_device,train
508,"Chiều nay có cuộc họp không?","chiều nay có cuộc họp không",calendar,train
509,"Tại sao bầu trời có màu xanh?","tại sao bầu trời có màu xanh",qa,train
510,"Hôm nay có lịch gì?","hôm nay có lịch gì",calendar,train
511,"Chiều nay tôi có ca ShopeeFood không?","chiều nay tôi có ca shopeefood không",calendar,train
512,"Xem thông tin hệ thống!","xem thông tin hệ thống",control_device,train
513,"Lịch tuần này như thế nào?","lịch tuần này như thế nào",calendar,train
514,"Tạo lịch dọn dẹp nhà cửa.","tạo lịch dọn dẹp nhà cửa",calendar,train
515,"Tôi nghe podcast mỗi tối.","tôi nghe podcast mỗi tối",personalize,train
516,"Mở Spotify phát nhạc!","mở spotify phát nhạc",control_device,train
517,"Tại sao xe bị hao xăng?","tại sao xe bị hao xăng",qa,train
518,"Tôi ưu tiên đường nhanh.","tôi ưu tiên đường nhanh",personalize,train
519,"Lên lịch ôn bài vào buổi tối.","lên lịch ôn bài vào buổi tối",calendar,train
520,"Sự khác biệt giữa CPU và GPU?","sự khác biệt giữa cpu và gpu",qa,train
521,"Tháng này có lịch học không?","tháng này có lịch học không",calendar,train
522,"Ngày mai có kế hoạch gì?","ngày mai có kế hoạch gì",calendar,train
523,"Thêm lịch luyện speaking IELTS lúc 8 giờ tối mỗi ngày.","thêm lịch luyện speaking ielts lúc 8 giờ tối mỗi ngày",calendar,train
524,"Bật chế độ im lặng!","bật chế độ im lặng",control_device,train
525,"Chụp ảnh ngay bây giờ!","chụp ảnh ngay bây giờ",control_device,train
526,"Rạp chiếu phim gần đây ở đâu?","rạp chiếu phim gần đây ở đâu",qa,train
527,"Thêm lịch đi làm lúc 8 giờ sáng.","thêm lịch đi làm lúc 8 giờ sáng",calendar,train
528,"Ăn sáng có quan trọng không?","ăn sáng có quan trọng không",qa,train
529,"Nhớ nhắc tôi học bài lúc 8h.","nhớ nhắc tôi học bài lúc 8h",calendar,train
530,"Tuần này tôi có lịch gì?","tuần này tôi có lịch gì",calendar,train
531,"Ghi lại là tôi không uống được đá lạnh.","ghi lại là tôi không uống được đá lạnh",personalize,train
532,"Nhắc tôi nghỉ ngơi lúc 10 giờ tối.","nhắc tôi nghỉ ngơi lúc 10 giờ tối",calendar,train
533,"Lên lịch trao đổi công việc vào chiều thứ sáu.","lên lịch trao đổi công việc vào chiều thứ sáu",calendar,train
534,"Thêm lịch meeting vào ngày mai.","thêm lịch meeting vào ngày mai",calendar,train
535,"Tôi có thói quen uống cà phê buổi sáng.","tôi có thói quen uống cà phê buổi sáng",personalize,train
536,"Cuối tuần có bận không?","cuối tuần có bận không",calendar,train
537,"Khi nào nên rửa xe?","khi nào nên rửa xe",qa,train
538,"Nên gửi tiết kiệm hay đầu tư?","nên gửi tiết kiệm hay đầu tư",qa,train
539,"Tăng độ sáng màn hình lên!","tăng độ sáng màn hình lên",control_device,train
540,"Có lịch gì sắp tới không?","có lịch gì sắp tới không",calendar,train
541,"Tắt video!","tắt video",control_device,train
542,"Đặt lịch học nhóm vào chiều mai.","đặt lịch học nhóm vào chiều mai",calendar,train
543,"Tôi thích uống trà.","tôi thích uống trà",personalize,train
544,"Nhắc tôi ôn từ vựng tiếng Anh hàng ngày.","nhắc tôi ôn từ vựng tiếng anh hàng ngày",calendar,train
545,"Ưu tiên đường không bị tắc.","ưu tiên đường không bị tắc",personalize,train
546,"Ghi lại giúp tôi.","ghi lại giúp tôi",personalize,train
547,"Tạo lịch làm đề reading vào sáng chủ nhật.","tạo lịch làm đề reading vào sáng chủ nhật",calendar,train
548,"Tại sao bầu trời chuyển màu vào lúc hoàng hôn?","tại sao bầu trời chuyển màu vào lúc hoàng hôn",qa,train
549,"Khi nào nên dùng GPU thay vì CPU?","khi nào nên dùng gpu thay vì cpu",qa,train
550,"Lịch của tôi hiện tại thế nào?","lịch của tôi hiện tại thế nào",calendar,train
551,"Tôi thích đi đường ngắn nhất.","tôi thích đi đường ngắn nhất",personalize,train
552,"Tại sao uống nhiều nước lại tốt cho da?","tại sao uống nhiều nước lại tốt cho da",qa,train
553,"Vì sao nên đọc sách tiếng Anh?","vì sao nên đọc sách tiếng anh",qa,train
554,"Giảm âm lượng xuống thấp!","giảm âm lượng xuống thấp",control_device,train
555,"Học online hiệu quả như thế nào?","học online hiệu quả như thế nào",qa,train
556,"Tôi ít khi dùng bluetooth.","tôi ít khi dùng bluetooth",personalize,train
557,"Tắt màn hình!","tắt màn hình",control_device,train
558,"Sáng nay tôi có bận gì không?","sáng nay tôi có bận gì không",calendar,train
559,"Lên lịch đọc sách lúc 9 giờ tối.","lên lịch đọc sách lúc 9 giờ tối",calendar,train
560,"Lịch sắp tới của tôi là gì?","lịch sắp tới của tôi là gì",calendar,train
561,"Tôi có khoảng trống nào không?","tôi có khoảng trống nào không",calendar,train
562,"Vì sao giấc ngủ ảnh hưởng đến tâm trạng?","vì sao giấc ngủ ảnh hưởng đến tâm trạng",qa,train
563,"Tại sao lá cây có màu xanh?","tại sao lá cây có màu xanh",qa,train
564,"Tạo nhắc nhở đi chạy bộ lúc 6 giờ.","tạo nhắc nhở đi chạy bộ lúc 6 giờ",calendar,train
565,"Xem lịch giúp tôi.","xem lịch giúp tôi",calendar,train
566,"Khi nào hôm nay tôi trống?","khi nào hôm nay tôi trống",calendar,train
567,"Hôm nay tôi có gì không?","hôm nay tôi có gì không",calendar,train
568,"Mở ứng dụng ghi chú nhanh!","mở ứng dụng ghi chú nhanh",control_device,train
569,"Ngày mai có kiểm tra gì không?","ngày mai có kiểm tra gì không",calendar,train
570,"Sáng nay tôi có rảnh không?","sáng nay tôi có rảnh không",calendar,train
571,"Ngày mai tôi có lịch gì không?","ngày mai tôi có lịch gì không",calendar,train
572,"Lịch ngày mai có gì?","lịch ngày mai có gì",calendar,train
573,"Tôi hay xem tin công nghệ mỗi sáng.","tôi hay xem tin công nghệ mỗi sáng",personalize,train
574,"Vì sao nước sôi ở 100 độ C?","vì sao nước sôi ở 100 độ c",qa,train
575,"Tháng này có deadline nào?","tháng này có deadline nào",calendar,train
576,"Chiều nay tôi có bận không?","chiều nay tôi có bận không",calendar,train
577,"Big Data là gì?","big data là gì",qa,train
578,"Nhắc tôi kiểm tra deadline.","nhắc tôi kiểm tra deadline",calendar,train
579,"Giá vàng hiện tại là bao nhiêu?","giá vàng hiện tại là bao nhiêu",qa,train
580,"Phát playlist yêu thích!","phát playlist yêu thích",control_device,train
581,"Nhắc tôi họp zoom lúc 8 giờ tối.","nhắc tôi họp zoom lúc 8 giờ tối",calendar,train
582,"Vì sao cần kiên trì khi học?","vì sao cần kiên trì khi học",qa,train
583,"Uống cà phê nhiều có tốt không?","uống cà phê nhiều có tốt không",qa,train
584,"Cầu vồng xuất hiện khi nào?","cầu vồng xuất hiện khi nào",qa,train
585,"Đặt lịch giúp tôi tối nay.","đặt lịch giúp tôi tối nay",calendar,train
586,"Cách duy trì lối sống lành mạnh?","cách duy trì lối sống lành mạnh",qa,train
587,"Sông dài nhất thế giới là sông nào?","sông dài nhất thế giới là sông nào",qa,train
588,"Bao nhiêu phút là 1 giờ?","bao nhiêu phút là 1 giờ",qa,train
589,"Mã OTP là gì?","mã otp là gì",qa,train
590,"Ngày kia có lịch học không?","ngày kia có lịch học không",calendar,train
591,"Ai là tổng thống Mỹ?","ai là tổng thống mỹ",qa,train
592,"Tôi học Đại học Khoa học Tự nhiên.","tôi học đại học khoa học tự nhiên",personalize,train
593,"Phân biệt ML và DL?","phân biệt ml và dl",qa,train
594,"Mở thư viện ảnh!","mở thư viện ảnh",control_device,train
595,"Cuối tuần có kế hoạch gì không?","cuối tuần có kế hoạch gì không",calendar,train
596,"Tắt thông báo!","tắt thông báo",control_device,train
597,"Nhắc tôi luyện đàn lúc 8 giờ.","nhắc tôi luyện đàn lúc 8 giờ",calendar,train
598,"ChatGPT hoạt động như thế nào?","chatgpt hoạt động như thế nào",qa,train
599,"Tôi có bao nhiêu lịch hôm nay?","tôi có bao nhiêu lịch hôm nay",calendar,train
600,"Tuần này có lịch học không?","tuần này có lịch học không",calendar,train
601,"Gọi điện cho số gần nhất!","gọi điện cho số gần nhất",control_device,train
602,"Tạo lịch họp với khách hàng vào chiều mai.","tạo lịch họp với khách hàng vào chiều mai",calendar,train
603,"Tại sao cần nghỉ ngơi?","tại sao cần nghỉ ngơi",qa,train
604,"Khi nào tôi không có lịch?","khi nào tôi không có lịch",calendar,train
605,"Tôi không thích trời quá nóng.","tôi không thích trời quá nóng",personalize,train
606,"Gọi cho mẹ!","gọi cho mẹ",control_device,train
607,"Vì sao con người cần giao tiếp xã hội?","vì sao con người cần giao tiếp xã hội",qa,train
608,"Mở nhạc trên YouTube!","mở nhạc trên youtube",control_device,train
609,"Phát nhạc tiếp!","phát nhạc tiếp",control_device,train
610,"Thêm lịch theo dõi công việc.","thêm lịch theo dõi công việc",calendar,train
611,"Tôi thường tập gym lúc 2 giờ chiều.","tôi thường tập gym lúc 2 giờ chiều",personalize,train
612,"Mở Netflix xem phim!","mở netflix xem phim",control_device,train
613,"Nhắc tôi đóng học phí.","nhắc tôi đóng học phí",calendar,train
614,"Tôi không thích tiếng ồn.","tôi không thích tiếng ồn",personalize,train
615,"Giấy phép lái xe cần những gì?","giấy phép lái xe cần những gì",qa,train
616,"Ngày kia có lịch gì không?","ngày kia có lịch gì không",calendar,train
617,"Thêm lịch dọn phòng vào chiều nay.","thêm lịch dọn phòng vào chiều nay",calendar,train
618,"Xem lịch tháng này.","xem lịch tháng này",calendar,train
619,"Cách dùng thì hiện tại hoàn thành?","cách dùng thì hiện tại hoàn thành",qa,train
620,"Mở Jupyter!","mở jupyter",control_device,train
621,"Tuần sau có bận không?","tuần sau có bận không",calendar,validation
622,"RAM ảnh hưởng thế nào đến hiệu năng máy tính?","ram ảnh hưởng thế nào đến hiệu năng máy tính",qa,validation
623,"Chiều nay có khoảng trống nào không?","chiều nay có khoảng trống nào không",calendar,validation
624,"Tôi thích làm việc trong yên tĩnh.","tôi thích làm việc trong yên tĩnh",personalize,validation
625,"Mở Google Maps!","mở google maps",control_device,validation
626,"Tôi có mấy cuộc họp ngày mai?","tôi có mấy cuộc họp ngày mai",calendar,validation
627,"Tôi hạn chế đồ chiên rán.","tôi hạn chế đồ chiên rán",personalize,validation
628,"Ăn nhiều đường có hại không?","ăn nhiều đường có hại không",qa,validation
629,"Tôi không thích kẹt xe.","tôi không thích kẹt xe",personalize,validation
630,"Sáng thứ bảy tôi có trống lịch không?","sáng thứ bảy tôi có trống lịch không",calendar,validation
631,"Cuộc hẹn tiếp theo khi nào?","cuộc hẹn tiếp theo khi nào",calendar,validation
632,"Ngủ bao nhiêu tiếng là đủ mỗi ngày?","ngủ bao nhiêu tiếng là đủ mỗi ngày",qa,validation
633,"Vì sao nên duy trì thói quen tốt?","vì sao nên duy trì thói quen tốt",qa,validation
634,"Lên lịch trả tiền nhà.","lên lịch trả tiền nhà",calendar,validation
635,"Tôi thích nhận thông báo dạng văn bản.","tôi thích nhận thông báo dạng văn bản",personalize,validation
636,"Công thức tính diện tích hình tròn là gì?","công thức tính diện tích hình tròn là gì",qa,validation
637,"Giảm độ sáng màn hình!","giảm độ sáng màn hình",control_device,validation
638,"Vì sao âm thanh truyền được trong không khí?","vì sao âm thanh truyền được trong không khí",qa,validation
639,"Tăng độ sáng màn hình!","tăng độ sáng màn hình",control_device,validation
640,"Xem video trên YouTube!","xem video trên youtube",control_device,validation
641,"Nhắc tôi uống thuốc tối nay.","nhắc tôi uống thuốc tối nay",calendar,validation
642,"Làm sao để không thức khuya?","làm sao để không thức khuya",qa,validation
643,"Tạo lịch gọi zoom vào tối nay.","tạo lịch gọi zoom vào tối nay",calendar,validation
644,"Lên lịch đi siêu thị chiều nay.","lên lịch đi siêu thị chiều nay",calendar,validation
645,"Tôi là fan của nhạc Lo-Fi.","tôi là fan của nhạc lofi",personalize,validation
646,"Tắt chế độ máy bay giúp tôi!","tắt chế độ máy bay giúp tôi",control_device,validation
647,"Trong tháng 4 tôi có những lịch nào?","trong tháng 4 tôi có những lịch nào",calendar,validation
648,"1 cộng 1 bằng mấy?","1 cộng 1 bằng mấy",qa,validation
649,"Hôm nay tôi có lịch gì quan trọng không?","hôm nay tôi có lịch gì quan trọng không",calendar,validation
650,"Mở Task Manager!","mở task manager",control_device,validation
651,"Dân số Hà Nội bao nhiêu?","dân số hà nội bao nhiêu",qa,test
652,"√144 là bao nhiêu?","√144 là bao nhiêu",qa,test
653,"Kết thúc tiến trình!","kết thúc tiến trình",control_device,test
654,"Tôi thích sống tối giản.","tôi thích sống tối giản",personalize,test
655,"Chiều tôi hay bị mất tập trung.","chiều tôi hay bị mất tập trung",personalize,test
656,"Hôm nay ngày mấy âm lịch?","hôm nay ngày mấy âm lịch",qa,test
657,"Mở Terminal giúp tôi!","mở terminal giúp tôi",control_device,test
658,"Bật Calculator!","bật calculator",control_device,test
659,"Thêm lịch đi khám định kỳ.","thêm lịch đi khám định kỳ",calendar,test
660,"Lịch trong vài ngày tới như thế nào?","lịch trong vài ngày tới như thế nào",calendar,test
661,"Tuần sau có họp không?","tuần sau có họp không",calendar,test
662,"Cách học ngoại ngữ hiệu quả?","cách học ngoại ngữ hiệu quả",qa,test
663,"Lịch học IELTS hôm nay lúc mấy giờ?","lịch học ielts hôm nay lúc mấy giờ",calendar,test
